jokes,labels
"Why doesn't Mexico have a Olympic team? Because everybody that can run, jump, and swim are already in the U.S",1
"“Hey, my name’s Microsoft. Can I crash at your place tonight?”",0
"Your family tree must be a cactus, because everyone in it is a prick.",1
DID YOU HEAR ABOUT THE NEW BAGHDAD ROCK GROUP? NO KIDS ON THE BLOCK.,1
"A mom texts, ""Hi! Son, what does IDK, LY, & TTYL mean?"" He texts back, ""I Don't Know, Love You, & Talk To You Later."" The mom texts him, ""It's ok, don't worry about it. I'll ask your sister, love you too.""",0
Did you hear about the kidnapping at the playground? They woke up!,0
"If I was as ugly as you were, I wouldn't say ""Hi"" to people. I'd say ""BOO!""",1
"Watching you two makes me feel like I'm watching a pair of retards with buckets on their heads, running into the wall, thinking it's each other.",1
Do you know why the two 4s didn’t go to the cafeteria for lunch? They already 8!,0
What do you call a can opener that doesn't work? A can't opener!,0
"I don’t need a psychiatrist to prod into my personal life and make me tell them all my secrets, I have my friends for that.",0
She is the best version of herself when singing in the shower,0
What does my dad have in common with Nemo? They both can’t be found.,1
What do you call an Iraqi who has sex with donkeys? Normal.,1
They said you were a great asset. I told them they were off by two letters.,1
What summer vacation destination makes a pet bird sing for joy? The Canary Islands!,0
"“There is nothing better than a friend, unless it’s a friend with chocolate.”",0
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,1
"A guy is sitting at a bar, and a drunk dude walks up to him, calling his mom a whore. The first guy just ignores it and stays in his spot drinking his beer. An hour goes by and the drunk dude comes back saying, ""Your mom is a whore!"" The first guy looks around the bar, sees people staring and says, ""Don't worry, everything is cool here,"" and shrugs it off. After a few more shots, the drunk dude walks up a third time and says, ""Your mom... is such... a whore!"" The guy finally gets mad, throws his fist on the table and says, ""You know what, Dad? Go home!""",1
"You're not acting like yourself today, I noticed the improvement right away.",1
“Are you a parking ticket? Because you’ve got FINE written all over you.”,0
"A man siting at a bar asked a pretty woman sitting next to him, Excuse me, but can I smell your pussy?"" ""Get away from me, you pervert,"" she replied. ""Oh, I'm sorry,"" exclaims the man, ""It must be your feet.""",1
"People say money is not the key to happiness, but I always figured if you had enough money, you can have a key made.",0
You're proof that every good gene pool has a shallow end.,1
"“I’m no mathematician, but I’ve been told I’m good with numbers. How about you give me yours so I can prove it?”",0
Q: How do you get 500 old cows in a barn? A: Put up a Bingo sign.,1
"Well, they do say opposites attract. So I sincerely hope you meet somebody who is attractive, honest, intelligent, and cultured.",1
A conversation between my mother and my wife.,0
What's the difference between a BMW and a porcupine? A BMW has pricks on the inside!,1
"I was sitting in a bar one day and two really large women came in, talking in an interesting accent. So I said, ""Cool accent, are you two ladies from Ireland?"" One of them snarled at me, ""It's Wales, Dumbo!"" So I corrected myself, ""My apologies, so are you two whales from Ireland?""",1
Keep death off the roads. Drive on the pavement.,1
"At first I thought you had the IQ of an ice scraper, but then it occured to me that an ice scraper has two things you don't, direction and purpose.",1
"Is that a Higgs boson in your pocket, or are you just happy to see me?",0
What do you call a leper in a hot tub? Soup.,1
What do you call a man with a seagull on his head? Cliff.,0
"You are so ugly, the last time you got a piece of ass was when your hand slipped through the toilet paper.",1
"If you call one of those psychic hotlines and they don't greet you by your name, you should hang up!",1
"Last time I saw a belly like that, I was given a stocking full of presents.",1
You know you're getting fat when you say you're fat in front of your friends and nobody corrects you.,1
"During a lecture on India, the teacher said a woman gives birth every 10 seconds in the country. A kid stood up and said, we gotta stop her!",0
I know you are nobody's fool but maybe someone will adopt you.,1
"If I promise to miss you, will you go away?",1
"Teacher: ""Kids, what does the chicken give you?"" Student: ""Meat!"" Teacher: ""Very good! Now what does the pig give you?"" Student: ""Bacon!"" Teacher: ""Great! And what does the fat cow give you?"" Student: ""Homework!",1
"When God was throwing intelligence down to the Earth, you were holding an umbrella.",1
"When Jack was born, his mother didn't know which end to put the diaper on.",1
Did you hear about the cheese factory explosion? There was nothing left but de-brie!,0
What do you call a sleeping bull? A bulldozer,0
"I'd hate to see you go, but I'd love to watch you leave!",1
"“If I could rearrange the alphabet, I’d put ‘U’ and ‘I’ together.”",0
Tomorrow is 2-22-22 Happy Twos-day,0
The overwhelming power of the sex drive was demonstrated by the fact that someone was willing to father you.,1
"A year ago someone who said, ""I'm the mayor of Kentucky Fried Chicken,"" was an insane old homeless man. Now, he's a hipster teen with an iPhone.",1
"Hold still, I'm trying to imagine you with a personality.",1
How do football players cool down during a game? They stand near the fans.,0
"I'd slap you senseless, but I can't spare three seconds!",1
What do you call an Iraqi with a sheep under one arm and a goat underthe other? Bisexual.,1
- What can you use used tampons for? Tea bags for vampires,1
"The best years of my life were spent in the arms of another man's wife... Thank you for everything, Mom.",0
"If clues were shoes, you'd go barefoot.",1
"You have so many gaps in your teeth, it looks like your tongue is in jail.",1
I can tell that your charisma bypass was successful.,1
You've got your head so far up your ass you can chew your food twice.,1
"Sure, I'd love to help you out. Now, which way did you come in?",1
"Q: What starts with E, ends with E, and has only 1 letter in it? A: Envelope.",0
"Q: Why did Adele cross the road? A: To sing, ""Hello from the other side!""",0
"I saw a young teenage kid on the subway today. He had a Mohawk hairstyle dyed yellow, green, and red. He caught me staring at him and in a nasty voice asked, ""What the f*ck are you looking at?"" I replied, ""Sorry, but when I was about your age I had sex with a parrot. I thought maybe you were my son.""",1
Yo momma is so old God was her first boyfriend.,1
I used to think that you were a big pain in the neck. Now I have a much lower opinion of you.,1
Going to see Peter Pan again tonight. Never gets old.,0
My friend told me he had the body of a Greek god. I had to explain to him that Buddha is not Greek.,1
"Insult: Hey, you're not much of a looker, but I'll date you. Response: Thanks. You must be very open-minded. Was that how your brain slipped out?",1
"This is Ima Singin, I am really offended by this joke. There is Sum Ting Wong with your sense of humor if you think thats funny",1
